Classifier,Metric,LOO,10-Fold,HoldOut,Mean,Std,LOO_vs_Fold
Centroid,euclidean,0.8533333333333334,0.8600000000000001,0.8888888888888888,0.8674074074074074,0.018899778995811894,-0.00666666666666671
1-NN,euclidean,0.9466666666666667,0.9466666666666667,1.0,0.9644444444444445,0.030792014356780046,0.0
3-NN,euclidean,0.9466666666666667,0.9466666666666667,0.9777777777777777,0.957037037037037,0.017962008374788344,0.0
5-NN,euclidean,0.9466666666666667,0.9466666666666667,0.9777777777777777,0.957037037037037,0.017962008374788344,0.0
7-NN,euclidean,0.96,0.96,0.9555555555555556,0.9585185185185185,0.002566001196398289,0.0
9-NN,euclidean,0.9533333333333334,0.9533333333333334,0.9777777777777777,0.9614814814814815,0.014113006580190815,0.0
11-NN,euclidean,0.9533333333333334,0.9533333333333334,0.9777777777777777,0.9614814814814815,0.014113006580190815,0.0
1-NN,manhattan,0.9266666666666666,0.9266666666666667,0.9777777777777777,0.9437037037037038,0.029509013758580838,-1.1102230246251565e-16
3-NN,manhattan,0.9466666666666667,0.9466666666666667,1.0,0.9644444444444445,0.030792014356780046,0.0
5-NN,manhattan,0.9533333333333334,0.9533333333333334,0.9777777777777777,0.9614814814814815,0.014113006580190815,0.0
7-NN,manhattan,0.94,0.9400000000000001,0.9777777777777777,0.9525925925925925,0.02181101016938584,-1.1102230246251565e-16
9-NN,manhattan,0.9466666666666667,0.9400000000000001,0.9777777777777777,0.9548148148148149,0.020163937168616555,0.006666666666666599
11-NN,manhattan,0.94,0.9400000000000001,0.9777777777777777,0.9525925925925925,0.02181101016938584,-1.1102230246251565e-16
1-NN,chebyshev,0.9533333333333334,0.9533333333333334,0.9777777777777777,0.9614814814814815,0.014113006580190815,0.0
3-NN,chebyshev,0.9533333333333334,0.9533333333333334,0.9777777777777777,0.9614814814814815,0.014113006580190815,0.0
5-NN,chebyshev,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333332,1.3597399555105182e-16,0.0
7-NN,chebyshev,0.9533333333333334,0.9466666666666667,0.9555555555555556,0.9518518518518518,0.004625924443258102,0.00666666666666671
9-NN,chebyshev,0.9466666666666667,0.9400000000000001,0.9333333333333333,0.9400000000000001,0.006666666666666654,0.006666666666666599
11-NN,chebyshev,0.9533333333333334,0.9466666666666667,0.9333333333333333,0.9444444444444443,0.010183501544346316,0.00666666666666671
1-NN,cosine,0.8533333333333334,0.8533333333333333,0.9111111111111111,0.8725925925925925,0.03335801555317837,1.1102230246251565e-16
3-NN,cosine,0.88,0.8800000000000001,0.8666666666666667,0.8755555555555556,0.007698003589195028,-1.1102230246251565e-16
5-NN,cosine,0.86,0.8666666666666668,0.9333333333333333,0.8866666666666667,0.04055175020198811,-0.006666666666666821
7-NN,cosine,0.88,0.86,0.9111111111111111,0.8837037037037038,0.025756057260316604,0.020000000000000018
9-NN,cosine,0.8666666666666667,0.86,0.9111111111111111,0.8792592592592592,0.02778518419779414,0.00666666666666671
11-NN,cosine,0.8533333333333334,0.8333333333333334,0.9333333333333333,0.8733333333333334,0.052915026221291794,0.020000000000000018
